Description,Currency_Time,Prerequisite_1,Remarks,Offline,Availability,Website,Local_Fees,Prerequisite_2_grade,City,Country,Course,Distance,Blended,Face_to_Face,Duration,Prerequisite_1_grade,Level_Code,Career_Outcomes,Faculty,Currency,Part_Time,Online,Prerequisite_2,Int_Fees,Full_Time,University,Duration_Time,Course_Lang,Prerequisite_3_grade,Prerequisite_3
"You will receive an email with a link to this recorded session once you register. If you do not receive this email, contact us on 1800 251 849 Chair: Ilsa Shaw, Dataminr Ilsa Shaw is on a mission to elevate the importance of corporate risk across all areas of the enterprise. She leads the sales team in Australia New Zealand for Dataminr, an advanced platform for detecting real-time risk and emerging threats using artificial intelligence. Ilsa has a unique 20-year background in sales leadership, delivering success across customer and revenue metrics in start-up and high-growth SaaS organisations. She scaled the revenue for a SaaS business by 2000% over a 3-year period and helped a managed services technology business grow profitability to 40%. One of Ilsa’s biggest personal achievements is finishing an MBA (Executive) with Distinction whilst raising 2 small kids. Her personal passion project is surfing, so you’ll find her down the coast, at Urbnsurf park, or travelling to remote tropical islands in search of uncrowded waves. Jason Brown, National Security Director, Thales Jason Brown is the National Security Director for Thales in Australia and New Zealand. He is responsible for international trade and security liaison with government, law enforcement and intelligence communities to develop cooperative arrangements to minimise risk to Thales and those in the community that it supports. He is also responsible to ensure compliance with international and Commonwealth requirements for trade control, national security and relevant federal and state laws. Before joining Thales in 2004 Jason had 27 years experience in Commonwealth Government with appointments which include; Assistant Secretary - Defence Imagery and the Geospatial Organisation, Director General - Safety, Compensation and People Development, Assistant Secretary - Defence Security, and various appointments in the Attorney General's Security portfolio in the areas of counter terrorism and security policy and investigations,   ",year,,,no,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04287/recorded-forum-session-building-the-influence?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,68.75 Member / 68.75 Subscriber / 68.75 Non-member,,Sydney,,Recorded Forum Session: Building the influence and capability of risk management ,no,no,no,0.75,,BA,,Computer Science & Information Technology,AUD,yes,no,,68.75 Member / 68.75 Subscriber / 68.75 Non-member,yes,Governance Institute of Australia,Hours,English,,
"You will receive an email with a link to this recorded session once you register. If you do not receive this email, contact us on 1800 251 849 Matt Mueller FGIA, Chief Information Officer, Iluka Matt started his career in technology mainly in software development for online platforms and commerce systems, moving into data analysis – including starting a software company. Matt later worked for Deloitte, then starting a IT advisory business in a BRW Fast 100 ﬁrm. In 2008 Matt moved to risk, becoming the head of risk for a large electricity distribution and transmission company, and then moving onto group level roles at Origin Energy in Sydney and working across Asia Paciﬁc at EY. Matt has worked with Boards and Executives across Singapore, Australia and New Zealand on a range of technology and risk matters,.  ",year,,,no,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04288/recorded-forum-session-cyber-security-during-?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,68.75 Member / 68.75 Subscriber / 68.75 Non-member,,Sydney,,Recorded Forum Session: Cyber security during a black swan event,no,no,no,0.75,,BA,,Computer Science & Information Technology,AUD,yes,no,,68.75 Member / 68.75 Subscriber / 68.75 Non-member,yes,Governance Institute of Australia,Hours,English,,
"You will receive an email with a link to this recorded session once you register. If you do not receive this email, contact us on 1800 251 849 Chair: Rachel Waterhouse, General Manager Engagement, Governance Institute of Australia Rachel’s team is responsible for Governance Institute’s engagement strategy with members, subscribers and customers. This includes achieving membership, marketing, media, digital strategy, and publishing objectives. Rachel holds a Bachelor of Business degree from the University of Newcastle and is a graduate of the Master of Business Administration (MBA) Executive from The Australian Graduate School of Management (AGSM) at the University of NSW Business School and completed the Company Directors Course from the AICD and the Effective Director Course from Governance Institute. Rachel is currently studying Governance Institute’s Graduate Diploma of Applied Corporate Governance and Risk Management. Phil Slade, Behavioural Science Lead, Suncorp As an organizational psychologist and behavioural economist, Phil specialises in improving the speed, quality and confidence of decision-making, and developing and implementing strategies to solve complex problems and shift behaviour. This often involves highlighting systemic and irrational ‘blind-spots’, identifying and maximizing opportunities, and increasing awareness of the cognitive biases that influence judgment and perception. Phil also has strong experience in organising and leading large teams in the delivery of complex and highly confidential projects, and works as an advisor to politicians, high profile entertainers, senior leaders and managers across a range of areas involving influence, perception, strategic decision-making and critical thinking.  ",year,,,no,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04289/recorded-forum-session-managing-the-wellness-?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,68.75 Member / 68.75 Subscriber / 68.75 Non-member,,Sydney,,Recorded Forum Session: Managing the wellness and efficiency of a remote workforce,no,no,no,0.75,,BA,,Computer Science & Information Technology,AUD,yes,no,,68.75 Member / 68.75 Subscriber / 68.75 Non-member,yes,Governance Institute of Australia,Hours,English,,
"You will receive an email with a link to this recorded session once you register. If you do not receive this email, contact us on 1800 251 849 Chair: Andrew Webster, Project Risk Partner, MLC Life Insurance Andrew is on a professional quest to revitalise how organisations use risk. Using the premise that opportunity is linked to risk, his career is focused on increasing the use of risk in decision-making, developing strategy, driving cultural change and converting risk into realised opportunities. He is a Fellow of the Governance Institute of Australia and a member of the National Risk and Technology subcommittee. Throughout his career, Andrew has worked in across the public and private sectors in governance, risk and compliance roles. His experience includes building new organisations from the ground up and also refining practices in existing companies with a focus on driving capability uplift. Cementing his knowledge in the Big4, Andrew is currently the risk partner supporting the demerger of MLC Life Insurance from the National Australia Bank. Daniel Atkin, Group Risk and Compliance Manager, Integral Diagnostics Daniel Atkin is an experienced senior risk professional who has worked across Public and Private enterprise, and in a range of roles including as a risk manager, consultant and as a regulator. As the Group Risk and Compliance Manager at Integral Diagnostics, a publicly listed radiology group across Australia and New Zealand, Daniel is responsible for the Corporate and Clinical Risk Management, Insurance, Health and Safety, Internal Audit, Privacy and Compliance functions. Daniel is also the President of the Victorian Chapter of the Risk Management Institute of Australasia. Daniel’s experience and interest in risk management is working with organisations to build practical and effective risks management approaches that is focused on outcomes and linked to strategy and planning. Tom McLeod, Former Head of Risk, Australian Broadcasting Corporation Tom has extensive Chief Audit Executive and Chief Risk Officer experience as the Global Head of Internal Audit at Rio Tinto, one of the world’s largest and most complex organisations, the General Manager Audit and Fraud at SingTel Optus, Australia’s second largest telecommunications company and the Interim Chief Risk Officer at The Star Entertainment Group – Australia’s leading integrated resort and casino group. He was most recently was the Head, Risk at the Australian Broadcasting Corporation, Australia's national public broadcaster. Tom has 25 years global and multi industry experience in risk management, internal auditing, insurable risk financing, fraud and corruption investigations, business analysis, program evaluation, and compliance activities.   ",year,,,no,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04290/recorded-forum-session-risk-assurance-strateg?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,68.75 Member / 68.75 Subscriber / 68.75 Non-member,,Sydney,,Recorded Forum Session: Risk assurance strategy,no,no,no,0.75,,BA,,Business & Commerce & Finance & Accounting,AUD,yes,no,,68.75 Member / 68.75 Subscriber / 68.75 Non-member,yes,Governance Institute of Australia,Hours,English,,
"You will receive an email with a link to this recorded session once you register. If you do not receive this email, contact us on 1800 251 849 Chair: Tim Timchur FGIA, Board Member, Governance Institute of Australia & Director, 365 Architechs Tim Timchur is the Managing Director of 365 Architechs Pty Ltd. He serves in a variety of roles at Governance Institute Ltd including as Non-executive Director, Finance, Audit and Risk Committee Member, Queensland State Council Chair, Member of the Risk and Technology Committee and Commercial and Legal Issues Committee Member.  Peter Deans, former Chief Risk Officer, BOQ Peter Deans is a former Chief Risk Officer. Peter retired in May 2019 after seven years as CRO of the Bank of Queensland (BOQ) in Australia. Peter implemented BOQ’s industry leading Ethics program since 2015 and leading advocate for ethical conduct and compliance across the industry. Peter was awarded Australian Banking & Finance magazine’s Chief Risk Officer of the Year award in 2014, 2015, 2016 and 2018. Peter is now a strategic and risk advisor to banks, financial institutions and corporate clients. He is also a Non-Executive Director of The Regtech Association in Australia and a member of the Economics and Finance School Advisory Committee at Queensland University of Technology (QUT).   ",year,,,no,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04291/recorded-forum-session-business-model-risk-wh?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,68.75 Member / 68.75 Subscriber / 68.75 Non-member,,Sydney,,Recorded Forum Session: Business model risk: Where strategy and risk intersect,no,no,no,0.75,,BA,,Business & Commerce & Finance & Accounting,AUD,yes,no,,68.75 Member / 68.75 Subscriber / 68.75 Non-member,yes,Governance Institute of Australia,Hours,English,,
"You will receive an email with a link to this recorded session once you register. If you do not receive this email, contact us on 1800 251 849 Ken Weldin FGIA, Partner, PKF Ken is a Partner at PKF where he has recently been appointed Joint Head of Audit & Assurance across Australia & New Zealand. He leads the firm’s efforts across Australia in internal audit and corporate governance and sits on PKF’s Global Risk Advisory Committee. Ken holds an MBA where he focused on Corporate Governance and Board Performance and Director Induction matters and is a Fellow of the Governance Institute of Australia, where he serves as a Chair of the Institute's Victorian State Council and as an active contributor to its National Legislation Review Committee. Mark Salomon, Group Risk Manager, Vicinity Centres Mark Salomon is a Risk Management professional with close to 20 years’ experience across risk management, resilience, and governance in various sectors including financial services, telecommunications, media and retail. He has held both first- and second-line roles and has an innate understanding not only of the theoretical requirements, but also how to practically and pragmatically implement risk management practices across various corporate cultures. Mark has also provided consulting advice on implementing risk management frameworks to various international organisations in the telecommunications, media and finance sectors. Mark holds tertiary qualifications in Accounting, Economics and Banking & Finance and is an Accredited Trainer for The Global Institute for Risk Management Standards. Raelene Murphy, Non-executive Director, Bega Cheese Raelene is an experienced non-executive director with a portfolio of ASX listed companies including Altium Limited, Bega Cheese Limited, Integral Diagnostics Limited and Cleanseas Seafood Limited. Raelene is the Chair of the Audit and Risk Committee on a number of these companies. Raelene has extensive experience in strategic, financial and operational leadership in both industry and professional advisory. In her professional advisory career she specialised in operational and financial restructuring including merger and acquisition integration. She was formerly a Managing Director at KordaMentha where she led the corporate turnaround practice. Her Industry experience includes as a CEO of the Delta Group and senior executive roles in the Mars Group. Raelene is a Fellow of Chartered Accountants Australia and New Zealand and a graduate of the Australian Institute of Company Directors.    ",year,,,no,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04301/recorded-forum-panel-session-risk-management-?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,0.00 Member / 0.00 Subscriber / 0.00 Non-member,,Sydney,,Recorded Forum Panel Session: Risk Management Survey 2020,no,no,no,0.75,,BA,,Business & Commerce & Finance & Accounting,AUD,yes,no,,0.00 Member / 0.00 Subscriber / 0.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"You will receive an email with a link to this recorded session once you register. If you do not receive this email, contact us on 1800 251 849 Ken Weldin FGIA, Partner, PKF Ken is a Partner at PKF where he has recently been appointed Joint Head of Audit & Assurance across Australia & New Zealand. He leads the firm’s efforts across Australia in internal audit and corporate governance and sits on PKF’s Global Risk Advisory Committee. Ken holds an MBA where he focused on Corporate Governance and Board Performance and Director Induction matters and is a Fellow of the Governance Institute of Australia, where he serves as a Chair of the Institute's Victorian State Council and as an active contributor to its National Legislation Review Committee. Mark Salomon, Group Risk Manager, Vicinity Centres Mark Salomon is a Risk Management professional with close to 20 years’ experience across risk management, resilience, and governance in various sectors including financial services, telecommunications, media and retail. He has held both first- and second-line roles and has an innate understanding not only of the theoretical requirements, but also how to practically and pragmatically implement risk management practices across various corporate cultures. Mark has also provided consulting advice on implementing risk management frameworks to various international organisations in the telecommunications, media and finance sectors. Mark holds tertiary qualifications in Accounting, Economics and Banking & Finance and is an Accredited Trainer for The Global Institute for Risk Management Standards. Raelene Murphy, Non-executive Director, Bega Cheese Raelene is an experienced non-executive director with a portfolio of ASX listed companies including Altium Limited, Bega Cheese Limited, Integral Diagnostics Limited and Cleanseas Seafood Limited. Raelene is the Chair of the Audit and Risk Committee on a number of these companies. Raelene has extensive experience in strategic, financial and operational leadership in both industry and professional advisory. In her professional advisory career she specialised in operational and financial restructuring including merger and acquisition integration. She was formerly a Managing Director at KordaMentha where she led the corporate turnaround practice. Her Industry experience includes as a CEO of the Delta Group and senior executive roles in the Mars Group. Raelene is a Fellow of Chartered Accountants Australia and New Zealand and a graduate of the Australian Institute of Company Directors.    ",year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04298/recorded-webinar-leaders-in-governance?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,,,Online,,Recorded Forum Panel Session: Risk Management Survey 2020,no,no,yes,0.75,,BA,,Business & Commerce & Finance & Accounting,AUD,yes,yes,,0.00 Member / 0.00 Subscriber / 0.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"You will receive an email with a link to this recorded session once you register. If you do not receive this email, contact us on 1800 251 849 Ken Weldin FGIA, Partner, PKF Ken is a Partner at PKF where he has recently been appointed Joint Head of Audit & Assurance across Australia & New Zealand. He leads the firm’s efforts across Australia in internal audit and corporate governance and sits on PKF’s Global Risk Advisory Committee. Ken holds an MBA where he focused on Corporate Governance and Board Performance and Director Induction matters and is a Fellow of the Governance Institute of Australia, where he serves as a Chair of the Institute's Victorian State Council and as an active contributor to its National Legislation Review Committee. Mark Salomon, Group Risk Manager, Vicinity Centres Mark Salomon is a Risk Management professional with close to 20 years’ experience across risk management, resilience, and governance in various sectors including financial services, telecommunications, media and retail. He has held both first- and second-line roles and has an innate understanding not only of the theoretical requirements, but also how to practically and pragmatically implement risk management practices across various corporate cultures. Mark has also provided consulting advice on implementing risk management frameworks to various international organisations in the telecommunications, media and finance sectors. Mark holds tertiary qualifications in Accounting, Economics and Banking & Finance and is an Accredited Trainer for The Global Institute for Risk Management Standards. Raelene Murphy, Non-executive Director, Bega Cheese Raelene is an experienced non-executive director with a portfolio of ASX listed companies including Altium Limited, Bega Cheese Limited, Integral Diagnostics Limited and Cleanseas Seafood Limited. Raelene is the Chair of the Audit and Risk Committee on a number of these companies. Raelene has extensive experience in strategic, financial and operational leadership in both industry and professional advisory. In her professional advisory career she specialised in operational and financial restructuring including merger and acquisition integration. She was formerly a Managing Director at KordaMentha where she led the corporate turnaround practice. Her Industry experience includes as a CEO of the Delta Group and senior executive roles in the Mars Group. Raelene is a Fellow of Chartered Accountants Australia and New Zealand and a graduate of the Australian Institute of Company Directors.    ",year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04298/recorded-webinar-leaders-in-governance?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,,,Sydney,,Recorded Forum Panel Session: Risk Management Survey 2020,no,no,yes,0.75,,BA,,Business & Commerce & Finance & Accounting,AUD,yes,yes,,0.00 Member / 0.00 Subscriber / 0.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"Hear from two whistleblowing experts and learn about best practice whistleblowing programs to ensure compliance with the new legislation. The 1 January 2020 deadline for having a whistleblower policy has passed. Developing an effective program beyond the policy requires translating the policy into realistic processes and practices. Learn how to effectively lead and manage commitment and trust at the critical communication points to achieve the best outcome for the whistleblower and your organisation. Learning objectives Review whistleblower provisions required by 1 January 2020 Apply best practice in leading the development of trust and commitment to whistleblower provisions across critical roles Investigate steps to create an environment for effective outcomes, both for the whistleblower and your organisation Examine case studies to help you implement an ethical, responsible and lawful framework. Presenter perspectives include:  Andrew McLeish, Managing Director, Stopline Andrew’s law enforcement experience spans 20 years with both State and Federal Police as a Detective and a Senior IT Forensic Examiner (Australian Federal Police, AFP). He has also worked in the Computer Crime sections of both the Victoria and Federal Police. Andrew was a former Detective Senior Constable and Acting Sergeant at Victoria Police before moving to the AFP Melbourne office as a Senior Computer Forensic Examiner.   He is considered an expert in the field of computer forensics by his peers. After leaving law enforcement, Andrew joined private industry and built a substantial Forensic Technology and investigation practice servicing the legal fraternity as well as a large number of Government bodies and Departments.  Dianne Cubbins, Senior Manager of Investigations, Stopline Dianne is an experienced Investigator and Human Resource practitioner with over twenty years’ experience providing high level advice, coaching and assistance across the full range of the employee lifecycle within large corporate and highly regulated operations including aviation, not for profit, and government organisations. Combining practical knowledge of contemporary workplace investigation principles and laws, particularly those related to procedural fairness, combined with the ability to investigate workplace matters efficiently, expeditiously and fairly",year,,,yes,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04297/digital-workshop-whistleblowing-implementing-?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,85.00 Member / 95.00 Subscriber / 115.00 Non-member,,Online,,"Digital Workshop: Whistleblowing - Implementing an ethical, responsible and lawful framework",no,no,yes,2,,BA,,Computer Science & Information Technology,AUD,yes,yes,,85.00 Member / 95.00 Subscriber / 115.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"When the coronavirus (COVID-19) pandemic struck, not long after the Australian bushfires, charities and not-for-profits (NFPs) found themselves on the frontlines of response. The spotlight is on the sector to deliver during this unique crisis and play a crucial role in providing sustainable services during the recovery. But the COVID-19 landscape both now and during recovery pose huge challenges to the sector’s capacity and sustainability to deliver critical services. There is an imperative to focus on Join us for a highly pertinent 90-minute online briefing to consider the sector landscape for response and recovery, and the need for regulatory reform and the governance frameworks to strengthen sector capacity to respond to the scale of national service needs. Our panel of NFP experts will look at the regulatory landscape, the core concepts for good governance and the challenge for fundraising and sustainable service provision. You will hear about: Chair: David Crosbie, CEO, Community Council for Australia David Crosbie is CEO of the Community Council for Australia. He has spent more than 20 years as CEO of significant charities including eight years in his current role at CCA, four years as CEO of the Mental Health Council of Australia, seven years as CEO of the Alcohol and other Drugs Council of Australia, and seven years as CEO of Odyssey House Victoria. In addition to the work he leads at the Community Council for Australia, David served on the inaugural Advisory Board of the Australian Charities and Not for profits Commission (ACNC), the Advisory Board of Impact Investing Australia, the Board of the Foundation for Alcohol Research and Education (among others).  Sue Woodward, Head of Not-for-profit Law, Justice Connect Sue was the driving force behind the establishment Justice Connect’s Not-for-profit Law service in 2008 to which she has returned after three years as the inaugural Director, Policy & Education at the Australian Charities and Not-for-profits Commission. Sue has been involved in researching and advocating on legal and regulatory issues of importance to Australia’s not-for-profit sector for more than 15 years. Sue is a lawyer who has been involved in many community groups and on the board of both start-up and well established charities, including the Victorian Council of Social Service. She is the lead contact for the #FixFundraising campaign and a member of the Charities Crisis Cabinet.  Belinda Dimovski, Director – Engagement & Support, Australian Red Cross Belinda has been leading business transformations centred around the customer for over 15 years across telecommunications, pharma, health and not for profit organisations. She is currently the Director of Engagement and Support at Australian Red Cross responsible for marketing, fundraising, digital, retail, First Aid and customer experience and also sits on the board at Bendigo Bank Homebush and the Australasian Reporting Awards.  Anna Longley, Assistant Commissioner & General Counsel, Australian Charities and Not-for-profits Commission Anna Longley is the ACNC’s Assistant Commissioner – General Counsel. She acts as the senior legal advisor to the ACNC Commissioner and the Advisory Board, and has legal oversight of the ACNC’s work regulating charities. Having worked at the Australian Taxation Office for over 16 years prior to becoming General Counsel, Anna has an extensive background in public administration. ",year,,,no,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04359/recorded-briefing-coronavirus-covid-19-good-g?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,35.00 Member / 45.00 Subscriber / 55.00 Non-member,,Sydney,,Recorded Briefing: Coronavirus (COVID-19) — Good governance for charities and not-for-profits,no,no,no,1.5,,BA,,Humanities and Social Science,AUD,yes,no,,35.00 Member / 45.00 Subscriber / 55.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
"Australia is a sporting nation for whom sport is both a passion and big business. In recent years however, sport has often been in the headlines for the wrong reasons. Much of it goes back to failures in culture and governance. National sporting organisations, clubs and leagues are working to reboot and strengthen their governance frameworks at all levels. Now, COVID-19 has added an additional layer of complexity. It has thrown into disarray the 2020-2021 calendar across sports  derailing operations and revenue and challenging sustainability at every level of sport. unpack good governance how it can be embedded at all layers of sport from grass roots to the major leagues and national and state sports bodies current challenges for sports governance commercialisation of sport and the impact on culture the pillars of sports governance – leadership, accountability, ethics and performance driving performance, strategy and direction – from grass-roots to the national leagues keeping stakeholder engagement at the core of responsible decision-making how Australian sport can reframe and recover from the challenge posed by the COVID-19 pandemic – implications for players, operations, workforce. Rob Dalton, Acting Chief Executive Officer, Sport Australia  Rob recently retired after 25 years as a Partner at Ernst and Young Chartered Accountants. During his time Rob ran complex organisations as well as managed a large professional services practice over Oceania and Asia. Rob has been an independent member of Australian Sports Commission Finance, Audit and Risk Committee as the Independent member for over 8 years and was Finance Director of Richmond AFL Club from 2002 – 2019. He was also been the Chair of Hockey Victoria for the last 11 years, which is the Sport he played many years ago. Andrew Wellington, Chairman, Brisbane Lions Club  Andrew is a Chartered Accountant and has been a Partner of PwC Australia since 2003. He is a member of the Brisbane firms Leadership Group of Partners and is a member of the Australian Board of Partners. He provides Corporate Advisory services to a range of large public and private clients. He is a Senior Fellow of FINSIA and an Associate of the Institute of Chartered Accountants in Australia. His qualifications include a Bachelor of Commerce (Hons) and a Masters of Accounting. A long term supporter of the club, Andrew has been a member of the Brisbane Bears and then Brisbane Lions since 1995. His direct involvement in football includes playing Under 19’s in the WAFL, amateur football and more recently involvement in junior football in Brisbane. Andrew has coached junior football with Wests Juniors, a Brisbane juniors club and was Treasurer of the club for a number of years. In 2013, Andrew approached and worked with the Brisbane Lions. In 2017 he was named to take on the role of chairman. Jodie Fields, previous Australian Women's Cricket Captain  Jodie was the first Queensland woman to captain the Australian Women's Cricket Team, leading the team to double World Cup wins in 2012 and 2013. Shortly after, she was named Queensland Sportswoman of the Year in 2013. She has overcome adversity such as potentially career ending injuries and has a mindset of never giving up. Jodie is an advocate for change in the corporate world too. She helped instate the first-ever agreement for male and female elite cricketers to move towards equality. In 2014 she set up a personal scholarship program to support young regional cricketers in Queensland to further their education and cricket goals. She is currently an ambassador for the Billion Steps Challenge for Health and Wellbeing Queensland, alongside other pursuits with cricket and sport administration. Chair: Glenn Vassallo, Managing Director of GRT Lawyers  Glenn is a co-founder of GRT Lawyers and the GRT Foundation. As the managing director of GRT Lawyers and chair of the GRT Foundation, Glenn is passionate about working with his highly sophisticated national and international clients to implement their corporate strategy and solve their complex problems. Glenn is often invited to speak on global topics such as, capital markets, board governance, initial public offerings, takeovers and more recently was invited to New York University to speak at its global conference about social entrepreneurship. Glenn runs regular educational workshops for listed and unlisted boards and executive teams. Glenn holds a Bachelor Degree of Law (LLB) and a Bachelor Degree of Commerce. He has been a long-standing member of the Law Council of Australia Company Law Committee and the Queensland Law Society Company Law Committee and has significant ASX listed board experience. Board directors of sports bodies at all levels C-suite and management Directors for performance Coaches Anyone who loves their sport should attend!",year,,,no,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04370/recorded-webcast-australian-sports-opportunit?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,35.00 Member / 45.00 Subscriber / 55.00 Non-member,,Sydney,,Recorded Webcast: Australian sports - opportunities for good governance,no,no,no,1,,BA,,Humanities and Social Science,AUD,yes,no,,35.00 Member / 45.00 Subscriber / 55.00 Non-member,yes,Governance Institute of Australia,Hour,English,,
"The circumstances of early 2020 has escalated the frequency of several key issues that have been gaining momentum in recent time. The obligations of company officers, the change in expectations of the ever-growing generation of leaders, and the move from traditional workplace arrangements to more flexible dispersed circumstances require a moment of focus and realignment to ensure WHS also keeps pace.  All officers of a Person Conducting a Business or Undertaking (PCBU) are accountable for safety within the organisation, whether directly or indirectly, and now is the time to consider how the new paradigm has impacted on your business. Whether you have questions about how to transition your workforce back to more familiar arrangements, or you are serious about exploring the opportunities presented by the new circumstances, the governance of safety over the coming months is vital. Join us for a 60-minute online briefing which will step through the regulatory context and the key themes that require attention in a post COVID-19 landscape. With the new financial year approaching your focus needs to include:  Micheal Martin FAICD, Executive Director, C-Suite Safety Solutions Pty Ltd Micheal has a diverse background in safety working in industries as varied as manufacturing, agriculture, supply chain and Defence. Micheal has held several senior leadership roles for iconic Australian and Global companies such as the Australian Laboratory Services Group, Serco/Sodexo and SunRice. In recent years Micheal has lead teams in the development of safety risk frameworks and online management solutions to improve system accessibility and engagement throughout Australia and overseas.   Micheal has the ability to see safety from the perspective of a company director and a safety practitioner, this has resulted in Micheal being a sought-after coach and mentor who assists Directors and Executives to managing the necessary links between compliance, behaviour and engagement.   Micheal is driven by a desire to see others succeed and uses his passion to reduce the risk of harm wherever it may be. ",year,,,no,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04389/recorded-webinar-whs-governance-consideration?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,0.00 Member / 0.00 Subscriber / 0.00 Non-member,,Sydney,,Recorded Webinar: WH&S Governance Considerations for the New World ,no,no,no,1,,BA,,Humanities and Social Science,AUD,yes,no,,0.00 Member / 0.00 Subscriber / 0.00 Non-member,yes,Governance Institute of Australia,Hour,English,,
"The impact of operations on the environment and the financial and non-financial exposure to climate risk has become critical for corporate disclosure. Climate change and environmental sustainability have become areas of intense focus for investors around the globe. Recommendation 7.4 of the new ASX Corporate Governance Council’s Principles encourages entities to consider and report upon any material exposure to climate change risk. Governance Institute of Australia published guidance to help listed companies report against Recommendation 7.4. You’ll hear from an expert panel to understand the global contexts for climate change risk, and the focus of investors, regulators, governments and other key stakeholders on the materiality of climate risk and the frameworks to enable effective disclosure. The panel will identify and unpack: key risks of climate change the materiality to business, both financial and non-financial how active investor engagement on climate risk has sharpened corporate focus implications for investments, sustainability and growth directors’ duties and the impact on governance the energy transition - challenges and opportunities frameworks for disclosure Do join us for this very relevant webinar and learn more about governance — embedding climate-related risks into governance frameworks strategy — integrating climate-related risks into strategy and financial planning risk management— identifying, assessing, mitigating and managing climate-risk metrics and targets— tools to monitor and assess climate risk and materiality. Chair: Guy Gilead, Senior Sales Director, Nasdaq Governance Solutions  With a background in technology and finance, Guy leads business development and thought leadership for Nasdaq Governance Solutions Australia. James Hall, General Manager – Corporate Finance, AGL  James Hall is General Manager, Corporate Finance, at AGL Energy Limited, having joined the company in July 2016. In this role, James is responsible for leading AGL’s group financial planning and analysis, treasury, investor relations and sustainability teams. James recently returned to the Finance function having been seconded as Interim Executive General Manager, Strategy, for the 12 months to September 2019. Before joining AGL, James was Vice President, Investor Relations & Corporate Affairs at logistics company Brambles Limited, at which he led investor relations and corporate affairs globally. Prior to this, James held a similar role at engineering and property services company United Group Limited and held various roles at The Australian Financial Review. James originally qualified in journalism and is currently completing a Master of Applied Finance degree. James is a past Chairman of the Australasian Investor Relations Association. Måns Carlsson-Sweeny, Head of ESG Research, Ausbil Investment Management  Catherine Maxwell FGIA, General Manager, Policy and Advocacy, Governance Institute of Australia Company secretaries General Counsel CEO and C-suite Non-executive directors Chief Sustainability Officer, Heads of ESG Officers and managers with governance responsibilities Details of Information Session to go here.",year,,,no,A,https://www.governanceinstitute.com.au/courses-events/calendar-of-events/eventdetails/E04427/recorded-webinar-relevance-and-materiality-of?DateFrom=24%2F11%2F2020&DateTo=24%2F05%2F2021&CalendarType=Combined,0.00 Member / 0.00 Subscriber / 0.00 Non-member,,Sydney,,Recorded Webinar: Relevance and materiality of climate risk disclosure,no,no,no,1.5,,BA,,Computer Science & Information Technology,AUD,yes,no,,0.00 Member / 0.00 Subscriber / 0.00 Non-member,yes,Governance Institute of Australia,Hours,English,,
